method,year,d_mnl_mw,stress_total_mw
static_2022,2025,4625.0,51106.0
static_2022,2035,4625.0,68189.0
static_2022,2050,4625.0,77694.0
fleet_scaled,2025,5053.203782334693,51534.20378233469
fleet_scaled,2035,5701.559940353181,69265.55994035318
fleet_scaled,2050,5918.774946126474,78987.77494612648
year_native,2025,4843.778832675767,51324.778832675765
year_native,2035,5346.73533281481,68910.73533281482
year_native,2050,4534.481322037649,77603.48132203765
